Date : 2024-08-01 12:12:32
Directory : c:\xampp\htdocs
Total : 536 files,  105411 codes, 19972 comments, 15224 blanks, all 140607 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Glyph\OutlineComponent.php                        | PHP        |         17 |         12 |          2 |         31 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Glyph\OutlineComposite.php                        | PHP        |        181 |         23 |         38 |        242 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Glyph\OutlineSimple.php                           | PHP        |        251 |         23 |         62 |        336 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Header.php                                        | PHP        |         17 |         14 |          6 |         37 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\OpenType\File.php                                 | PHP        |          4 |         12 |          3 |         19 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\OpenType\TableDirectoryEntry.php                  | PHP        |          4 |         11 |          4 |         19 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\DirectoryEntry.php                          | PHP        |         75 |         29 |         31 |        135 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Table.php                                   | PHP        |         57 |         17 |         19 |         93 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\cmap.php                               | PHP        |        216 |         16 |         67 |        299 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\glyf.php                               | PHP        |        109 |         12 |         33 |        154 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\head.php                               | PHP        |         31 |         11 |          4 |         46 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\hhea.php                               | PHP        |         29 |         11 |          4 |         44 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\hmtx.php                               | PHP        |         37 |         11 |         11 |         59 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\kern.php                               | PHP        |         51 |         13 |         16 |         80 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\loca.php                               | PHP        |         50 |         15 |         15 |         80 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\maxp.php                               | PHP        |         27 |         11 |          4 |         42 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\name.php                               | PHP        |        149 |         20 |         25 |        194 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\nameRecord.php                         | PHP        |         35 |         11 |          7 |         53 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\os2.php                                | PHP        |         34 |         11 |          2 |         47 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\post.php                               | PHP        |         62 |         62 |         19 |        143 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\Collection.php                           | PHP        |         57 |         22 |         22 |        101 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\File.php                                 | PHP        |        318 |         71 |         83 |        472 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\Header.php                               | PHP        |         16 |         11 |          4 |         31 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType\TableDirectoryEntry.php                  | PHP        |         16 |         11 |          7 |         34 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\WOFF\File.php                                     | PHP        |         46 |         19 |         17 |         82 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\WOFF\Header.php                                   | PHP        |         19 |         11 |          2 |         32 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\WOFF\TableDirectoryEntry.php                      | PHP        |         17 |         11 |          7 |         35 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\README.md                                                      | Markdown   |          8 |          0 |          6 |         14 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\SECURITY.md                                                    | Markdown   |         12 |          0 |          5 |         17 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\composer.json                                                  | JSON       |         31 |          0 |          1 |         32 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\CssLength.php                                          | PHP        |         72 |         48 |         15 |        135 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\DefaultStyle.php                                       | PHP        |         19 |          6 |          5 |         30 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Document.php                                           | PHP        |        302 |         25 |         82 |        409 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Gradient\Stop.php                                      | PHP        |          8 |          6 |          3 |         17 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Style.php                                              | PHP        |        454 |         32 |         66 |        552 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Surface\CPdf.php                                       | PHP        |      3,888 |      1,609 |        922 |      6,419 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Surface\SurfaceCpdf.php                                | PHP        |        367 |         24 |        105 |        496 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Surface\SurfaceInterface.php                           | PHP        |         37 |         20 |         34 |         91 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Surface\SurfacePDFLib.php                              | PHP        |        318 |         26 |         87 |        431 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\AbstractTag.php                                    | PHP        |        164 |         32 |         41 |        237 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Anchor.php                                         | PHP        |          5 |          6 |          4 |         15 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Circle.php                                         | PHP        |         25 |          6 |          6 |         37 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\ClipPath.php                                       | PHP        |         19 |          6 |          9 |         34 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Ellipse.php                                        | PHP        |         29 |          6 |          8 |         43 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Group.php                                          | PHP        |         19 |          6 |          9 |         34 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Image.php                                          | PHP        |         51 |          6 |         16 |         73 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Line.php                                           | PHP        |         30 |          6 |          8 |         44 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\LinearGradient.php                                 | PHP        |         59 |          9 |         16 |         84 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Path.php                                           | PHP        |        472 |         31 |         74 |        577 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Polygon.php                                        | PHP        |         27 |          8 |          8 |         43 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Polyline.php                                       | PHP        |         26 |          8 |          7 |         41 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\RadialGradient.php                                 | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Rect.php                                           | PHP        |         36 |          6 |          9 |         51 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Shape.php                                          | PHP        |         38 |         12 |         13 |         63 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Stop.php                                           | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\StyleTag.php                                       | PHP        |         16 |          6 |          6 |         28 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\Text.php                                           | PHP        |         53 |          6 |         14 |         73 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag\UseTag.php                                         | PHP        |         87 |          9 |         27 |        123 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\CHANGELOG.md                                           | Markdown   |        161 |          0 |         81 |        242 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\README.md                                              | Markdown   |        546 |          0 |         87 |        633 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\composer.json                                          | JSON       |         69 |          0 |          1 |         70 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\CSSList\AtRuleBlockList.php                        | PHP        |         44 |         29 |         11 |         84 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\CSSList\CSSBlockList.php                           | PHP        |        101 |         35 |          8 |        144 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\CSSList\CSSList.php                                | PHP        |        318 |        134 |         28 |        480 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\CSSList\Document.php                               | PHP        |         80 |         79 |         14 |        173 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\CSSList\KeyFrame.php                               | PHP        |         54 |         36 |         15 |        105 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Comment\Comment.php                                | PHP        |         34 |         27 |         11 |         72 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Comment\Commentable.php                            | PHP        |          8 |         13 |          5 |         26 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\OutputFormat.php                                   | PHP        |        134 |        161 |         40 |        335 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\OutputFormatter.php                                | PHP        |        127 |         82 |         23 |        232 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Parser.php                                         | PHP        |         28 |         25 |          8 |         61 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Parsing\OutputException.php                        | PHP        |          9 |          7 |          3 |         19 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Parsing\ParserState.php                            | PHP        |        318 |        159 |         40 |        517 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Parsing\SourceException.php                        | PHP        |         18 |         10 |          5 |         33 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Parsing\UnexpectedEOFException.php                 | PHP        |          5 |          5 |          3 |         13 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Parsing\UnexpectedTokenException.php               | PHP        |         25 |         20 |          7 |         52 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Property\AtRule.php                                | PHP        |         11 |         17 |          7 |         35 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Property\CSSNamespace.php                          | PHP        |         71 |         64 |         20 |        155 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Property\Charset.php                               | PHP        |         56 |         57 |         17 |        130 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Property\Import.php                                | PHP        |         64 |         56 |         18 |        138 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Property\KeyframeSelector.php                      | PHP        |         16 |          5 |          3 |         24 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Property\Selector.php                              | PHP        |         77 |         49 |         13 |        139 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Renderable.php                                     | PHP        |          8 |          9 |          5 |         22 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\RuleSet\AtRuleSet.php                              | PHP        |         38 |         26 |         10 |         74 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\RuleSet\DeclarationBlock.php                       | PHP        |        656 |        149 |         27 |        832 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\RuleSet\RuleSet.php                                | PHP        |        189 |        114 |         24 |        327 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Rule\Rule.php                                      | PHP        |        225 |        134 |         34 |        393 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Settings.php                                       | PHP        |         35 |         44 |         11 |         90 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\CSSFunction.php                              | PHP        |         38 |         26 |         10 |         74 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\CSSString.php                                | PHP        |         67 |         29 |         10 |        106 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\CalcFunction.php                             | PHP        |         72 |         12 |          6 |         90 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\CalcRuleValueList.php                        | PHP        |         14 |          6 |          5 |         25 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\Color.php                                    | PHP        |        113 |         38 |         16 |        167 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\LineName.php                                 | PHP        |         43 |         16 |          7 |         66 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\PrimitiveValue.php                           | PHP        |          9 |          3 |          3 |         15 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\RuleValueList.php                            | PHP        |          9 |          4 |          3 |         16 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\Size.php                                     | PHP        |        114 |         71 |         25 |        210 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\URL.php                                      | PHP        |         48 |         25 |         10 |         83 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\Value.php                                    | PHP        |        138 |         48 |         13 |        199 |
| c:\xampp\htdocs\dompdf\vendor\sabberworm\php-css-parser\src\Value\ValueList.php                                | PHP        |         49 |         39 |         13 |        101 |
| c:\xampp\htdocs\errores\403.php                                                                                | PHP        |         44 |          0 |          6 |         50 |
| c:\xampp\htdocs\errores\404.php                                                                                | PHP        |         44 |          0 |          6 |         50 |
| c:\xampp\htdocs\fonts\fontawesome-webfont.svg                                                                  | XML        |        655 |          0 |          0 |        655 |
| c:\xampp\htdocs\fonts\glyphicons-halflings-regular.svg                                                         | XML        |        288 |          0 |          0 |        288 |
| c:\xampp\htdocs\images\Acciones\Adelante.svg                                                                   | XML        |         24 |          1 |          1 |         26 |
| c:\xampp\htdocs\images\Acciones\Ajustes.svg                                                                    | XML        |         54 |          1 |          1 |         56 |
| c:\xampp\htdocs\images\Acciones\Atras.svg                                                                      | XML        |         24 |          1 |          1 |         26 |
| c:\xampp\htdocs\images\Acciones\Avanzar.svg                                                                    | XML        |         35 |          1 |          1 |         37 |
| c:\xampp\htdocs\images\Acciones\Buscar.svg                                                                     | XML        |         28 |          1 |          1 |         30 |
| c:\xampp\htdocs\images\Acciones\Busqueda.svg                                                                   | XML        |         28 |          1 |          1 |         30 |
| c:\xampp\htdocs\images\Acciones\Hogar.svg                                                                      | XML        |         37 |          1 |          1 |         39 |
| c:\xampp\htdocs\images\Acciones\Login.svg                                                                      | XML        |         30 |          1 |          1 |         32 |
| c:\xampp\htdocs\images\Acciones\Manual.svg                                                                     | XML        |         63 |          1 |          1 |         65 |
| c:\xampp\htdocs\images\Acciones\Maximizar.svg                                                                  | XML        |         48 |          1 |          1 |         50 |
| c:\xampp\htdocs\images\Acciones\Pdf.svg                                                                        | XML        |        115 |          1 |          1 |        117 |
| c:\xampp\htdocs\images\Acciones\Registro.svg                                                                   | XML        |         27 |          1 |          1 |         29 |
| c:\xampp\htdocs\images\Acciones\Reloj.svg                                                                      | XML        |         30 |          1 |          1 |         32 |
| c:\xampp\htdocs\images\Acciones\Retroceder.svg                                                                 | XML        |         35 |          1 |          1 |         37 |
| c:\xampp\htdocs\images\Acciones\Soporte.svg                                                                    | XML        |         82 |          1 |          1 |         84 |
| c:\xampp\htdocs\images\Acciones\Tema.svg                                                                       | XML        |         86 |          1 |          1 |         88 |
| c:\xampp\htdocs\images\Contextual\Actualizar.svg                                                               | XML        |         68 |          1 |          1 |         70 |
| c:\xampp\htdocs\images\Contextual\Ayuda.svg                                                                    | XML        |         69 |          1 |          1 |         71 |
| c:\xampp\htdocs\images\Contextual\Borrar.svg                                                                   | XML        |         50 |          1 |          1 |         52 |
| c:\xampp\htdocs\images\Contextual\Copiar.svg                                                                   | XML        |         72 |          1 |          1 |         74 |
| c:\xampp\htdocs\images\Contextual\Cortar.svg                                                                   | XML        |         59 |          1 |          1 |         61 |
| c:\xampp\htdocs\images\Contextual\Pegar.svg                                                                    | XML        |         50 |          1 |          1 |         52 |
| c:\xampp\htdocs\images\Contextual\Seleccionar.svg                                                              | XML        |         57 |          1 |          1 |         59 |
| c:\xampp\htdocs\images\Contextual\Tema.svg                                                                     | XML        |         19 |          1 |          1 |         21 |
| c:\xampp\htdocs\images\Funciones\Actualizar.svg                                                                | XML        |        137 |          1 |          1 |        139 |
| c:\xampp\htdocs\images\Funciones\Agregar.svg                                                                   | XML        |         43 |          1 |          1 |         45 |
| c:\xampp\htdocs\images\Funciones\Bloqueado.svg                                                                 | XML        |         45 |          1 |          1 |         47 |
| c:\xampp\htdocs\images\Funciones\Consultar.svg                                                                 | XML        |         74 |          1 |          1 |         76 |
| c:\xampp\htdocs\images\Funciones\Eliminar.svg                                                                  | XML        |         47 |          1 |          1 |         49 |
| c:\xampp\htdocs\images\Iconos\Acerca.svg                                                                       | XML        |         33 |          1 |          1 |         35 |
| c:\xampp\htdocs\images\Iconos\Base.svg                                                                         | XML        |        300 |          1 |          1 |        302 |
| c:\xampp\htdocs\images\Iconos\Calle.svg                                                                        | XML        |        105 |          1 |          1 |        107 |
| c:\xampp\htdocs\images\Iconos\Casa.svg                                                                         | XML        |        104 |          1 |          1 |        106 |
| c:\xampp\htdocs\images\Iconos\Chatbot.svg                                                                      | XML        |        265 |          1 |          1 |        267 |
| c:\xampp\htdocs\images\Iconos\Ciudad.svg                                                                       | XML        |        426 |          1 |          1 |        428 |
| c:\xampp\htdocs\images\Iconos\Contrato.svg                                                                     | XML        |        151 |          1 |          1 |        153 |
| c:\xampp\htdocs\images\Iconos\Correo.svg                                                                       | XML        |        206 |          1 |          1 |        208 |
| c:\xampp\htdocs\images\Iconos\Edificio.svg                                                                     | XML        |        227 |          1 |          1 |        229 |
| c:\xampp\htdocs\images\Iconos\Estado.svg                                                                       | XML        |        494 |          1 |          1 |        496 |
| c:\xampp\htdocs\images\Iconos\EstudianteI.svg                                                                  | XML        |        286 |          1 |          1 |        288 |
| c:\xampp\htdocs\images\Iconos\EstudianteII.svg                                                                 | XML        |        175 |          1 |          1 |        177 |
| c:\xampp\htdocs\images\Iconos\Graduacion.svg                                                                   | XML        |        146 |          1 |          1 |        148 |
| c:\xampp\htdocs\images\Iconos\Image-Generator.svg                                                              | XML        |        303 |          1 |          1 |        305 |
| c:\xampp\htdocs\images\Iconos\Materia.svg                                                                      | XML        |        890 |          1 |          1 |        892 |
| c:\xampp\htdocs\images\Iconos\Matricula.svg                                                                    | XML        |        229 |          1 |          1 |        231 |
| c:\xampp\htdocs\images\Iconos\Mensualidad.svg                                                                  | XML        |        267 |          1 |          1 |        269 |
| c:\xampp\htdocs\images\Iconos\Municipio.svg                                                                    | XML        |        199 |          1 |          1 |        201 |
| c:\xampp\htdocs\images\Iconos\Nota.svg                                                                         | XML        |        367 |          1 |          1 |        369 |
| c:\xampp\htdocs\images\Iconos\Parroquia.svg                                                                    | XML        |        255 |          1 |          1 |        257 |
| c:\xampp\htdocs\images\Iconos\Parroquias.svg                                                                   | XML        |        103 |          1 |          1 |        105 |
| c:\xampp\htdocs\images\Iconos\Piso.svg                                                                         | XML        |        124 |          1 |          1 |        126 |
| c:\xampp\htdocs\images\Iconos\Profesor.svg                                                                     | XML        |        291 |          1 |          1 |        293 |
| c:\xampp\htdocs\images\Iconos\Punto.svg                                                                        | XML        |        327 |          1 |          1 |        329 |
| c:\xampp\htdocs\images\Iconos\Representante.svg                                                                | XML        |        264 |          1 |          1 |        266 |
| c:\xampp\htdocs\images\Iconos\Seccion.svg                                                                      | XML        |        730 |          1 |          1 |        732 |
| c:\xampp\htdocs\images\Iconos\Telefono.svg                                                                     | XML        |        108 |          1 |          1 |        110 |
| c:\xampp\htdocs\images\Iconos\Usuario.svg                                                                      | XML        |        237 |          1 |          1 |        239 |
| c:\xampp\htdocs\images\Iconos\Vereda.svg                                                                       | XML        |        507 |          1 |          1 |        509 |
| c:\xampp\htdocs\images\Iconos\Voice.svg                                                                        | XML        |        355 |          1 |          1 |        357 |
| c:\xampp\htdocs\images\Iconos\cedula.svg                                                                       | XML        |         90 |          1 |          1 |         92 |
| c:\xampp\htdocs\images\Iconos\nacimiento.svg                                                                   | XML        |        114 |          1 |          1 |        116 |
| c:\xampp\htdocs\images\Menu-2\Captura.svg                                                                      | XML        |         38 |          1 |          1 |         40 |
| c:\xampp\htdocs\images\Menu-2\Flecha-derecha.svg                                                               | XML        |         38 |          1 |          1 |         40 |
| c:\xampp\htdocs\images\Menu-2\Flecha-izquierda.svg                                                             | XML        |         38 |          1 |          1 |         40 |
| c:\xampp\htdocs\images\Menu-2\Imprimir.svg                                                                     | XML        |         64 |          1 |          1 |         66 |
| c:\xampp\htdocs\images\OLD\UEP3.svg                                                                            | XML        |      1,161 |          1 |          1 |      1,163 |
| c:\xampp\htdocs\images\UEP3.svg                                                                                | XML        |      2,756 |          1 |          1 |      2,758 |
| c:\xampp\htdocs\images\Ventana\Ayuda-black.svg                                                                 | XML        |         32 |          1 |          1 |         34 |
| c:\xampp\htdocs\images\Ventana\Ayuda.svg                                                                       | XML        |         39 |          1 |          1 |         41 |
| c:\xampp\htdocs\images\Ventana\Buscar-black.svg                                                                | XML        |         27 |          1 |          1 |         29 |
| c:\xampp\htdocs\images\Ventana\Buscar.svg                                                                      | XML        |         26 |          1 |          1 |         28 |
| c:\xampp\htdocs\images\Ventana\Cierre-black.svg                                                                | XML        |         30 |          1 |          1 |         32 |
| c:\xampp\htdocs\images\Ventana\Cierre.svg                                                                      | XML        |         32 |          1 |          1 |         34 |
| c:\xampp\htdocs\images\Ventana\Perfil-black.svg                                                                | XML        |         30 |          1 |          1 |         32 |
| c:\xampp\htdocs\images\Ventana\Perfil.svg                                                                      | XML        |         24 |          1 |          1 |         26 |
| c:\xampp\htdocs\index.php                                                                                      | PHP        |         71 |          0 |          5 |         76 |
| c:\xampp\htdocs\js\AJAX.js                                                                                     | JavaScript |         27 |          6 |         13 |         46 |
| c:\xampp\htdocs\js\Menu-Contextual.js                                                                          | JavaScript |         14 |          5 |          6 |         25 |
| c:\xampp\htdocs\js\Validacion.js                                                                               | JavaScript |         94 |         15 |         16 |        125 |
| c:\xampp\htdocs\js\bootstrap.min.js                                                                            | JavaScript |          2 |          5 |          0 |          7 |
| c:\xampp\htdocs\js\chart.js                                                                                    | JavaScript |     11,201 |         70 |         60 |     11,331 |
| c:\xampp\htdocs\js\jquery.js                                                                                   | JavaScript |      6,758 |      1,885 |      2,062 |     10,705 |
| c:\xampp\htdocs\js\jquery.min.js                                                                               | JavaScript |          3 |          1 |          0 |          4 |
| c:\xampp\htdocs\js\jquery.parallax.js                                                                          | JavaScript |         43 |         16 |         15 |         74 |
| c:\xampp\htdocs\js\moment-min.js                                                                               | JavaScript |      4,583 |        346 |        756 |      5,685 |
| c:\xampp\htdocs\js\scripts.js                                                                                  | JavaScript |         33 |         17 |         20 |         70 |
| c:\xampp\htdocs\js\smoothscroll.js                                                                             | JavaScript |        277 |          6 |         21 |        304 |
| c:\xampp\htdocs\js\trancision.js                                                                               | JavaScript |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\routes2.php                                                                                    | PHP        |         34 |         12 |         31 |         77 |
| c:\xampp\htdocs\sql\Batalla_de_Niquitao.sql                                                                    | SQL        |      2,163 |        467 |        738 |      3,368 |
| Total                                                                                                          |            |    105,411 |     19,972 |     15,224 |    140,607 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
